epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.349,1.06859,0.87434,1.03676,0.46005,0.47476,0.44903,0.28953,1.19134,1.28225,1.11,0.0700249,0.00333057,0.00333057
2,780.978,1.19248,1.00111,1.10003,0.59767,0.57352,0.5951,0.38011,1.07811,0.91046,1.07309,0.0400117,0.00665071,0.00665071
3,1168.02,1.16475,0.95476,1.08054,0.63725,0.60931,0.66061,0.42317,1.04139,0.83069,1.03562,0.00998527,0.00995765,0.00995765
4,1553.28,1.12038,0.90163,1.05914,0.67339,0.60208,0.67441,0.43238,1.00831,0.80911,1.03791,0.0099406,0.0099406,0.0099406
5,1938.65,1.09169,0.86709,1.04715,0.68606,0.67,0.7227,0.46116,0.96701,0.7731,1.00635,0.0099208,0.0099208,0.0099208
6,2323.94,1.05362,0.82271,1.03297,0.69157,0.66613,0.72249,0.48146,0.92894,0.72147,0.9892,0.009901,0.009901,0.009901
7,2709.16,1.03303,0.79874,1.02211,0.71935,0.66065,0.72784,0.47973,0.93511,0.72396,0.99434,0.0098812,0.0098812,0.0098812
8,3094.37,1.01039,0.77946,1.01214,0.72364,0.66823,0.75344,0.50741,0.89998,0.66729,0.97827,0.0098614,0.0098614,0.0098614
9,3479.57,0.99174,0.75404,1.00693,0.72349,0.681,0.75789,0.504,0.90443,0.66959,0.97858,0.0098416,0.0098416,0.0098416
10,3864.48,0.98087,0.74529,0.99975,0.75115,0.67574,0.75413,0.51063,0.87768,0.65764,0.9666,0.0098218,0.0098218,0.0098218
11,4249.82,0.97033,0.73016,0.99704,0.77522,0.70659,0.78455,0.53236,0.86216,0.64793,0.95808,0.009802,0.009802,0.009802
12,4635.11,0.95577,0.71669,0.98933,0.76777,0.67201,0.76873,0.533,0.85319,0.63701,0.95725,0.0097822,0.0097822,0.0097822
13,5020.2,0.94608,0.71,0.98434,0.7121,0.68601,0.73783,0.51203,0.84673,0.63235,0.95539,0.0097624,0.0097624,0.0097624
14,5405.68,0.94309,0.7055,0.98084,0.76102,0.69728,0.76201,0.52806,0.84537,0.61362,0.95278,0.0097426,0.0097426,0.0097426
15,5790.95,0.93792,0.69238,0.98193,0.79222,0.70647,0.79584,0.55255,0.83838,0.60264,0.95217,0.0097228,0.0097228,0.0097228
16,6176.31,0.93845,0.69373,0.98265,0.76707,0.72484,0.78812,0.54412,0.84008,0.61443,0.95572,0.009703,0.009703,0.009703
17,6560.81,0.92294,0.68686,0.97707,0.76576,0.71138,0.78536,0.5496,0.82501,0.60003,0.94542,0.0096832,0.0096832,0.0096832
18,6945.51,0.91063,0.66782,0.96985,0.7607,0.7618,0.80654,0.56659,0.80073,0.5915,0.93456,0.0096634,0.0096634,0.0096634
19,7330.64,0.90845,0.66398,0.96699,0.76007,0.73058,0.79233,0.5559,0.80814,0.58003,0.94,0.0096436,0.0096436,0.0096436
20,7715.57,0.89763,0.6621,0.96623,0.77866,0.73468,0.8085,0.56401,0.79924,0.57575,0.93471,0.0096238,0.0096238,0.0096238
21,8100.69,0.89326,0.65226,0.96174,0.7864,0.71455,0.80624,0.56826,0.79528,0.56554,0.93134,0.009604,0.009604,0.009604
22,8485.91,0.89675,0.65245,0.96167,0.76227,0.74851,0.79938,0.56289,0.78562,0.56463,0.93006,0.0095842,0.0095842,0.0095842
23,8871.22,0.88784,0.64869,0.9597,0.78247,0.73247,0.80391,0.5691,0.78716,0.55267,0.93064,0.0095644,0.0095644,0.0095644
24,9256.47,0.87985,0.63876,0.95779,0.75819,0.75595,0.81051,0.58643,0.77561,0.55463,0.92569,0.0095446,0.0095446,0.0095446
25,9641.66,0.87427,0.62784,0.9522,0.80137,0.74406,0.81505,0.5887,0.76682,0.54876,0.92068,0.0095248,0.0095248,0.0095248
26,10027,0.8725,0.62483,0.95327,0.7639,0.77079,0.81145,0.58302,0.77127,0.54312,0.9265,0.009505,0.009505,0.009505
27,10412,0.87498,0.62971,0.95356,0.79209,0.7685,0.82462,0.59229,0.76888,0.53636,0.92089,0.0094852,0.0094852,0.0094852
28,10796.9,0.86371,0.61654,0.94959,0.78943,0.75019,0.81982,0.58923,0.75984,0.53302,0.91804,0.0094654,0.0094654,0.0094654
29,11181.4,0.86196,0.60817,0.94813,0.80259,0.74982,0.82505,0.60171,0.75133,0.51736,0.91407,0.0094456,0.0094456,0.0094456
30,11566.5,0.85424,0.60822,0.94484,0.82485,0.74854,0.83396,0.6067,0.74807,0.51115,0.91202,0.0094258,0.0094258,0.0094258
31,11951.7,0.84793,0.60205,0.94095,0.78751,0.77689,0.836,0.60181,0.7524,0.50988,0.91562,0.009406,0.009406,0.009406
32,12336.6,0.85035,0.60348,0.94351,0.80818,0.7675,0.83423,0.60574,0.73994,0.50962,0.9089,0.0093862,0.0093862,0.0093862
33,12720.9,0.84772,0.60066,0.93903,0.80312,0.75985,0.83999,0.60871,0.73844,0.50892,0.90882,0.0093664,0.0093664,0.0093664
34,13105.8,0.8454,0.60207,0.94078,0.78918,0.77428,0.84177,0.61682,0.73034,0.50734,0.90638,0.0093466,0.0093466,0.0093466
35,13490.6,0.84132,0.59395,0.94074,0.80691,0.78374,0.84285,0.61654,0.72707,0.49677,0.90488,0.0093268,0.0093268,0.0093268
36,13875.4,0.83495,0.58397,0.93541,0.81408,0.7751,0.85031,0.62021,0.72733,0.49443,0.90609,0.009307,0.009307,0.009307
37,14260,0.83818,0.58739,0.93583,0.80648,0.77809,0.84265,0.62165,0.7189,0.49272,0.89992,0.0092872,0.0092872,0.0092872
38,14644.8,0.82805,0.582,0.93367,0.82939,0.77458,0.85572,0.62514,0.72053,0.48884,0.9009,0.0092674,0.0092674,0.0092674
39,15029.7,0.82525,0.57558,0.93161,0.82321,0.78109,0.84936,0.62989,0.71995,0.48535,0.90156,0.0092476,0.0092476,0.0092476
40,15414.4,0.82372,0.56866,0.93152,0.81521,0.79285,0.85553,0.63237,0.71293,0.47489,0.89788,0.0092278,0.0092278,0.0092278
41,15798.7,0.82301,0.57367,0.92752,0.82562,0.77885,0.84745,0.63483,0.70499,0.47523,0.89639,0.009208,0.009208,0.009208
42,16183.6,0.81957,0.56894,0.92809,0.83232,0.77997,0.86104,0.63921,0.70711,0.47447,0.89627,0.0091882,0.0091882,0.0091882
43,16568.5,0.81557,0.56841,0.92927,0.82076,0.79561,0.86155,0.64202,0.70224,0.47006,0.89473,0.0091684,0.0091684,0.0091684
44,16953.2,0.80917,0.56312,0.92406,0.83425,0.78224,0.86538,0.64267,0.70153,0.4664,0.89415,0.0091486,0.0091486,0.0091486
45,17337.6,0.80926,0.55808,0.92322,0.83795,0.79624,0.86426,0.64623,0.69093,0.46374,0.88831,0.0091288,0.0091288,0.0091288
46,17721.9,0.79861,0.55473,0.92081,0.8312,0.79632,0.86884,0.65478,0.68808,0.45463,0.88758,0.009109,0.009109,0.009109
47,18106.7,0.80419,0.55629,0.92368,0.81325,0.81037,0.8657,0.64935,0.69005,0.4563,0.88711,0.0090892,0.0090892,0.0090892
48,18490.9,0.79755,0.54863,0.91982,0.83339,0.80099,0.87903,0.65715,0.6864,0.45266,0.88734,0.0090694,0.0090694,0.0090694
49,18875.1,0.79389,0.54697,0.91869,0.85557,0.79585,0.87653,0.65547,0.68548,0.44879,0.88589,0.0090496,0.0090496,0.0090496
50,19260,0.79803,0.55001,0.92104,0.83798,0.80935,0.87977,0.66189,0.68174,0.44644,0.88283,0.0090298,0.0090298,0.0090298
51,19644.9,0.79067,0.54159,0.91904,0.84395,0.79897,0.87629,0.65944,0.68145,0.4433,0.885,0.00901,0.00901,0.00901
52,20029.2,0.78646,0.53848,0.91658,0.86156,0.78666,0.87559,0.66298,0.67397,0.44057,0.88159,0.0089902,0.0089902,0.0089902
53,20414.6,0.78586,0.53566,0.9147,0.83139,0.81253,0.88012,0.66897,0.67274,0.43945,0.88323,0.0089704,0.0089704,0.0089704
54,20799.1,0.78403,0.53355,0.91534,0.82944,0.82776,0.8841,0.66767,0.67321,0.43873,0.88295,0.0089506,0.0089506,0.0089506
55,21183.5,0.77564,0.52805,0.91289,0.81931,0.81732,0.87975,0.67063,0.66858,0.43401,0.88023,0.0089308,0.0089308,0.0089308
56,21568,0.78267,0.53166,0.91367,0.84082,0.8145,0.88542,0.67499,0.66423,0.43045,0.87792,0.008911,0.008911,0.008911
57,21952.6,0.77219,0.52384,0.91121,0.86035,0.79806,0.88551,0.67906,0.66202,0.42488,0.87591,0.0088912,0.0088912,0.0088912
58,22337.2,0.77701,0.52752,0.91504,0.87706,0.79698,0.88557,0.67917,0.65792,0.42268,0.87404,0.0088714,0.0088714,0.0088714
59,22721.9,0.77232,0.52026,0.909,0.87962,0.79388,0.88867,0.68127,0.65526,0.42088,0.87417,0.0088516,0.0088516,0.0088516
60,23106.5,0.77353,0.52561,0.91181,0.85717,0.81225,0.89081,0.68376,0.65498,0.42146,0.87371,0.0088318,0.0088318,0.0088318
61,23490.9,0.76233,0.51647,0.90701,0.87554,0.80745,0.89211,0.68684,0.65348,0.41951,0.8738,0.008812,0.008812,0.008812
62,23875,0.76695,0.51763,0.90817,0.87067,0.80349,0.89284,0.6875,0.65132,0.41704,0.87338,0.0087922,0.0087922,0.0087922
63,24259.7,0.7627,0.5168,0.90924,0.89157,0.78766,0.89336,0.68993,0.64616,0.4143,0.87263,0.0087724,0.0087724,0.0087724
64,24644.5,0.76426,0.5153,0.91171,0.86398,0.81974,0.89611,0.69404,0.64339,0.41175,0.8707,0.0087526,0.0087526,0.0087526
65,25029.2,0.76306,0.51055,0.90742,0.86505,0.8179,0.89576,0.69614,0.64139,0.40932,0.86915,0.0087328,0.0087328,0.0087328
66,25413.6,0.75807,0.50337,0.90329,0.85648,0.83523,0.89611,0.69633,0.64045,0.40882,0.86762,0.008713,0.008713,0.008713
67,25797.9,0.75825,0.50698,0.90415,0.86542,0.83541,0.89749,0.69955,0.63737,0.40611,0.86713,0.0086932,0.0086932,0.0086932
68,26182,0.75732,0.50579,0.90272,0.881,0.81673,0.89966,0.7001,0.63692,0.4037,0.86694,0.0086734,0.0086734,0.0086734
69,26566.2,0.75243,0.50099,0.90385,0.88044,0.81679,0.90205,0.69939,0.6352,0.40056,0.86592,0.0086536,0.0086536,0.0086536
70,26950.4,0.75066,0.50118,0.90224,0.87254,0.82753,0.9056,0.70298,0.63256,0.39715,0.86559,0.0086338,0.0086338,0.0086338
71,27334.7,0.74758,0.4964,0.89892,0.88399,0.81992,0.9039,0.70404,0.63191,0.39578,0.8653,0.008614,0.008614,0.008614
72,27719.4,0.74267,0.4943,0.8999,0.87623,0.82453,0.90453,0.70458,0.62841,0.39333,0.86398,0.0085942,0.0085942,0.0085942
73,28103.7,0.73913,0.48959,0.89801,0.89342,0.81889,0.90697,0.70745,0.62698,0.39238,0.86291,0.0085744,0.0085744,0.0085744
74,28487.9,0.74267,0.49515,0.90106,0.8752,0.83501,0.90763,0.70776,0.62626,0.39014,0.86276,0.0085546,0.0085546,0.0085546
75,28872.2,0.74253,0.49171,0.89736,0.86769,0.84408,0.90805,0.70925,0.62652,0.38925,0.86219,0.0085348,0.0085348,0.0085348
76,29256.6,0.74118,0.48642,0.90016,0.87016,0.83802,0.90892,0.71104,0.62557,0.38858,0.86187,0.008515,0.008515,0.008515
77,29640.8,0.73755,0.48775,0.89623,0.87285,0.84044,0.91016,0.71304,0.62343,0.3872,0.86104,0.0084952,0.0084952,0.0084952
