epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.776,1.47234,1.36922,1.23204,0.3782,0.31304,0.32267,0.18863,1.48602,1.45526,1.27739,0.0700249,0.00333057,0.00333057
2,456.796,1.52721,1.45296,1.34471,0.48999,0.46403,0.47091,0.27909,1.25757,1.25373,1.18239,0.0399464,0.0065993,0.0065993
3,433.629,1.45334,1.35317,1.29282,0.56714,0.5294,0.53529,0.31235,1.22277,1.07605,1.14397,0.00981445,0.00980065,0.00980065
3,434.379,1.45334,1.35317,1.29282,0.56714,0.5294,0.53529,0.31235,1.22277,1.07605,1.14397,0.00981445,0.00980065,0.00980065
4,406.874,1.27001,1.06502,1.14218,0.5599,0.55133,0.54527,0.33678,1.13008,0.96236,1.10599,0.009703,0.009703,0.009703
5,803.257,1.20933,1.01496,1.11686,0.63306,0.56977,0.61351,0.38437,1.06129,0.88371,1.0707,0.009604,0.009604,0.009604
6,1199.65,1.16548,0.95341,1.09757,0.68815,0.60732,0.6582,0.41668,1.00865,0.81548,1.03694,0.009505,0.009505,0.009505
7,1596.81,1.12438,0.90746,1.0752,0.65424,0.60833,0.66035,0.42833,0.96886,0.7867,1.03117,0.009406,0.009406,0.009406
8,2013.65,1.11084,0.89912,1.07371,0.65973,0.61164,0.66599,0.42879,0.99339,0.78604,1.03999,0.009307,0.009307,0.009307
9,389.532,1.08193,0.8654,1.05146,0.69211,0.65807,0.70625,0.45877,0.95227,0.74989,1.01521,0.009208,0.009208,0.009208
10,776.348,1.06803,0.8467,1.04433,0.66651,0.65225,0.68465,0.44006,0.95796,0.76953,1.0145,0.009109,0.009109,0.009109
11,1162.05,1.05034,0.82515,1.03842,0.69632,0.6945,0.71298,0.47074,0.93712,0.73228,1.00641,0.00901,0.00901,0.00901
12,1547.91,1.02068,0.7966,1.02377,0.70472,0.66001,0.71662,0.47026,0.92261,0.70897,0.99631,0.008911,0.008911,0.008911
13,1933.19,1.02066,0.79039,1.02727,0.7031,0.67036,0.72253,0.47583,0.90678,0.70311,0.98962,0.008812,0.008812,0.008812
14,2316.66,1.0289,0.79458,1.02425,0.72664,0.66381,0.73722,0.48731,0.90089,0.68116,0.98859,0.008713,0.008713,0.008713
15,2700.02,1.01327,0.77399,1.0153,0.73994,0.6568,0.73896,0.49714,0.88875,0.66625,0.98372,0.008614,0.008614,0.008614
16,3083.22,0.99542,0.76091,1.01175,0.73254,0.68026,0.74139,0.49511,0.89467,0.67118,0.98018,0.008515,0.008515,0.008515
17,3466.37,0.99325,0.75542,1.01151,0.74674,0.67635,0.75562,0.51092,0.87991,0.6604,0.97373,0.008416,0.008416,0.008416
18,3849.64,0.97999,0.74057,1.00125,0.74883,0.69014,0.75964,0.51431,0.87319,0.64751,0.97274,0.008317,0.008317,0.008317
19,4232.76,0.95867,0.71929,0.99317,0.73082,0.69799,0.76743,0.51831,0.86782,0.63496,0.96813,0.008218,0.008218,0.008218
20,4616.18,0.95302,0.71461,0.99159,0.76929,0.68915,0.7662,0.52637,0.84432,0.63412,0.95936,0.008119,0.008119,0.008119
21,4998.96,0.94913,0.71577,0.99004,0.73818,0.70807,0.76358,0.52287,0.8327,0.61269,0.9565,0.00802,0.00802,0.00802
22,5381.68,0.93424,0.70121,0.98436,0.72476,0.72871,0.7815,0.54017,0.81878,0.59789,0.9521,0.007921,0.007921,0.007921
23,5764.92,0.94594,0.70504,0.9882,0.75287,0.69436,0.77706,0.53219,0.82673,0.59374,0.95102,0.007822,0.007822,0.007822
